"","COD_DISCIPLINA","ANO","SEMESTRE","NOME_DISCIPLINA","SIGLA","TOTAL_ALUNOS","NOME_CURSO","Sem"
"151","DLSC815",2022,"2. Semestre","ENGENHARIA DE ONTOLOGIAS","Reprovado",1,"Ciência da Computação - Bacharelado","DCG"
"152","DLSC815",2021,"2. Semestre","ENGENHARIA DE ONTOLOGIAS","Aprovado",4,"Ciência da Computação - Bacharelado","DCG"
"153","DLSC815",2022,"2. Semestre","ENGENHARIA DE ONTOLOGIAS","Aprovado",8,"Ciência da Computação - Bacharelado","DCG"
"154","DLSC817",2023,"1. Semestre","DESENVOLVIMENTO DE SOFTWARE EDUCACIONAL","Repr.Freq",3,"Ciência da Computação - Bacharelado","DCG"
"155","DLSC817",2023,"1. Semestre","DESENVOLVIMENTO DE SOFTWARE EDUCACIONAL","Aprovado",1,"Ciência da Computação - Bacharelado","DCG"
"156","DPADI0185",2023,"2. Semestre","SISTEMAS OPERACIONAIS","Aprovado",2,"Ciência da Computação - Bacharelado","Inativo"
"157","DPADI0208",2021,"2. Semestre","INTERNET DAS COISAS","Aprovado",1,"Ciência da Computação - Bacharelado","Inativo"
"158","DPADP0094",2022,"2. Semestre","INTELIGÊNCIA DE NEGÓCIOS:  aplicar tecnologias de inteligência de negócios para executar consultas analíticas na construção de soluções de negócios, usando e integrando recursos com vistas a tomada de decisão.","Reprovado",1,"Ciência da Computação - Bacharelado","Inativo"
"159","DPADP0122",2021,"2. Semestre","ALGORITMOS E LÓGICA DE PROGRAMAÇÃO","Aprovado",1,"Ciência da Computação - Bacharelado","Inativo"
"160","DPADP0125",2022,"2. Semestre","FUNDAMENTOS DA COMPUTAÇÃO","Reprovado",1,"Ciência da Computação - Bacharelado","Inativo"
"161","DPADP0128",2022,"2. Semestre","PROGRAMAÇÃO ORIENTADA A OBJETOS","Aprovado",1,"Ciência da Computação - Bacharelado","Inativo"
"162","DPADP0130",2022,"2. Semestre","BANCO DE DADOS I","Repr.Freq",1,"Ciência da Computação - Bacharelado","Inativo"
"163","DPADP0131",2022,"2. Semestre","PROGRAMAÇÃO WEB","Repr.Freq",1,"Ciência da Computação - Bacharelado","Inativo"
"164","DPADP0132",2022,"1. Semestre","SISTEMAS OPERACIONAIS ""A""","Repr.Freq",1,"Ciência da Computação - Bacharelado","Inativo"
"165","DPADP0133",2023,"1. Semestre","ENGENHARIA DE SOFTWARE I","Aprovado",1,"Ciência da Computação - Bacharelado","Inativo"
"166","DPADP0133",2022,"1. Semestre","ENGENHARIA DE SOFTWARE I","Repr.Freq",1,"Ciência da Computação - Bacharelado","Inativo"
"167","DPADP0134",2022,"1. Semestre","WEB DESIGN","Aprovado",1,"Ciência da Computação - Bacharelado","Inativo"
"168","DPADP0134",2023,"1. Semestre","WEB DESIGN","Aprovado",1,"Ciência da Computação - Bacharelado","Inativo"
"169","DPADP0135",2023,"1. Semestre","BANCO DE DADOS II","Aprovado",1,"Ciência da Computação - Bacharelado","Inativo"
"170","DPADP0136",2022,"1. Semestre","PROGRAMAÇÃO ORIENTADA A OBJETOS DA WEB I","Repr.Freq",1,"Ciência da Computação - Bacharelado","Inativo"
"171","DPADP0136",2023,"1. Semestre","PROGRAMAÇÃO ORIENTADA A OBJETOS DA WEB I","Reprovado",1,"Ciência da Computação - Bacharelado","Inativo"
"172","DPADP0249",2021,"2. Semestre","GEOFÍSICA ESPACIAL APLICADA AO GEOPROCESSAMENTO","Reprovado",1,"Ciência da Computação - Bacharelado","Inativo"
"173","DPADP0251",2021,"2. Semestre","ALGORITMOS DE PROGRAMAÇÃO A","Reprovado",1,"Ciência da Computação - Bacharelado","Inativo"
"174","DPADP0290",2023,"2. Semestre","CONCEITO E IMPLANTAÇÃO DE DEVOPS","Reprovado",1,"Ciência da Computação - Bacharelado","Inativo"
"175","DPADP0387",2023,"2. Semestre","COMUNICAÇÃO INTEGRADA E ESTRATÉGICA","Aprovado",1,"Ciência da Computação - Bacharelado","Inativo"
"176","DPEE1062",2020,"2. Semestre","SISTEMAS INTELIGENTES","Aprovado",8,"Ciência da Computação - Bacharelado","DCG"
